"k" "absresidrel" "runtimeb" "runtimea"
"217" 5 6479.46345063058 9.122812877 4.376009517
"218" 5 15379.1441228913 9.084795459 4.357950702
"219" 5 410.962656102043 9.171473665 4.229989865
"220" 5 28865.3069543728 9.151993218 4.374913385
"221" 5 384.311973716553 9.224106266 4.412642926
"222" 5 74.1839895963525 9.296907699 4.504421698
"223" 5 21495.4723380772 9.339013967 4.535682735
"224" 5 22823.2235754726 9.321508489 4.343728543
"225" 5 22534.0344696663 9.109471685 4.378141907
"226" 5 2701.66527056448 9.242592058 4.263909999
"227" 5 4828.94970586941 9.103019211 4.38748398
"228" 5 5249.44214831981 9.291310362 4.270951801
"229" 5 550.34714639456 9.186241323 4.380932477
"230" 5 66.0107323918843 9.375039769 4.326214361
"231" 5 14316.259655266 9.287561613 4.397281956
"232" 5 4724.33633652714 10.12944367 4.54080099
"233" 5 159.850179395767 9.284519478 4.284375323
"234" 5 5016.84476409611 9.349472697 4.307643924
"235" 5 1750.11042151765 9.144769516 4.358871989
"236" 5 412.522115821949 9.131114734 4.381826952
"237" 5 1291.82434817258 9.036474107 4.292062018
"238" 5 17234.1828897983 9.078385764 4.183475899
"239" 5 4.41331286032837 9.231841664 4.372832188
"240" 5 9933.39686126665 9.42892761 4.392444222
"241" 5 91.4128861930747 9.409579833 4.391040146
"242" 5 1041.00786225126 9.375966264 4.290104238
"243" 5 195.35523894918 9.392488098 4.614633682
"244" 5 1057.52700001283 9.182188093 4.495248703
"245" 5 2746.65570470701 9.080455556 4.329554288
"246" 5 183.024950750147 9.125351031 4.352449255
"247" 5 29.7471045899898 9.505008948 4.524228973
"248" 5 8890.07976323399 9.23483303 4.417594013
"249" 5 43122.1364589879 9.243881456 4.466107424
"250" 5 20364.8451875015 9.390274819 4.337307161
"251" 5 674.517543512019 9.255808686 4.433223397
"252" 5 19735.8203752897 10.119216059 4.545699689
"253" 5 5229.46285706312 9.196760356 4.203608468
"254" 5 1475.95650436465 9.191567131 4.206811675
"255" 5 24737.2570118576 9.197008765 4.225222066
"256" 5 12010.7576555893 9.250525632 4.504338748
"257" 5 458.408269479428 9.056365303 4.342221441
"258" 5 132.649433191506 9.048290036 4.12106951
"259" 5 734.964824331882 9.192763821 4.274307518
"260" 5 6481.58164620052 9.007393729 4.302791992
"261" 5 2901.85108159522 9.482684865 4.444525246
"262" 5 3892.37805954999 9.335612375 4.246058121
"263" 5 11993.7674537723 9.413488663 4.348641709
"264" 5 9298.94806495871 9.250054159 4.47130476
"265" 5 1702.34406519803 9.132237997 4.396594922
"266" 5 9948.4837332091 9.161078196 4.377080847
"267" 5 2942.92701445071 9.121066482 4.377757242
"268" 5 0.878225481843035 9.340183509 4.451413888
"269" 5 33714.6721565684 9.684397804 4.878625865
"270" 5 14613.3344503572 9.281641559 4.285446121
"271" 5 2595.5006671985 9.378676569 4.506440839
"272" 5 44549.1847665221 10.040703701 4.581019406
"273" 5 29958.0285721059 9.171847906 4.408752507
"274" 5 8207.83150390255 9.19524709 4.214798846
"275" 5 1269.60417488778 9.105913648 4.344517209
"276" 5 15315.2231852405 9.227736104 4.300168902
"277" 5 376.65379436907 9.163970733 4.242238302
"278" 5 19506.8479436169 9.045167837 4.173466009
"279" 5 1328.84652839241 8.98673942 4.121890986
"280" 5 243.23199352019 9.48312025 4.49838697
"281" 5 2413.76709852027 9.362162247 4.336710902
"282" 5 791.761672064401 9.30658838 4.247973075
"283" 5 14.4225139815711 9.400146638 4.329528654
"284" 5 46516.4588129027 9.320552799 4.552465932
"285" 5 48.7670791742516 9.497023988 4.503184079
"286" 5 3742.9392731159 9.349628494 4.35262693
"287" 5 364.875304161559 9.302404693 4.32241411
"288" 5 2213.09098648452 9.466985888 4.35510213
"289" 5 2614.42774663028 9.367846497 4.579186873
"290" 5 3266.02206097859 9.379379918 4.313799942
"291" 5 9077.98837555669 9.231980932 4.436322366
"292" 5 9954.57835933379 10.030815659 4.479455899
"293" 5 1297.6989649406 9.364104424 4.353534964
"294" 5 771.164141394823 9.26812493 4.241949073
"295" 5 958.510303040964 9.465414633 4.377158367
"296" 5 333.132967297252 9.059864242 4.318270979
"297" 5 8205.83006894732 9.165058951 4.206091519
"298" 5 5671.47992367899 9.035634014 4.275296485
"299" 5 1822.77888698308 9.097263237 4.311609111
"300" 5 49.7287171075646 9.25429119 4.198720468
"301" 6 33859.3920457983 9.398557957 4.308834618
"302" 6 52884.6226955882 9.352673764 4.519061363
"303" 6 18038.6365313352 9.423112816 4.325696008
"304" 6 2215.97318294392 9.165724059 4.40079074
"305" 6 7200.35069343059 9.217617914 4.429633815
"306" 6 62470.9372007386 9.306915704 4.333318429
"307" 6 103492.96217096 9.27786371 4.266855868
"308" 6 399.931869220816 9.354982154 4.30261405
"309" 6 280.735845741306 9.456333571 4.42740175
"310" 6 125.038250834023 9.393407099 4.321760521
"311" 6 111047.483567121 9.33465916 4.501126391
"312" 6 49732.2591153836 9.911797963 4.719243926
"313" 6 37195.0338028755 9.30133883 4.289380609
"314" 6 1510.28182055409 9.334500215 4.350099227
"315" 6 8175.00985902188 9.24909177 4.249788164
"316" 6 30879.7679259827 9.277270313 4.350596555
"317" 6 16437.0821327898 9.141214859 4.428657124
"318" 6 37904.6251020322 9.223750965 4.289576564
"319" 6 1055.5826339155 9.156019151 4.46291976
"320" 6 72480.6646307833 9.236106888 4.450803678
"321" 6 1199.05760967138 9.419204823 4.377872059
"322" 6 316.427849847378 9.761762993 4.706482726
"323" 6 53675.8257840905 9.480633896 4.378982151
"324" 6 58611.1484546149 9.365097514 4.339977171
"325" 6 58783.7313708695 9.347570826 4.357916916
"326" 6 7257.87548047253 9.308576243 4.321301153
"327" 6 12773.4470289116 9.278562828 4.501030358
"328" 6 14268.5383960144 9.301353166 4.510257446
"329" 6 1259.42255541961 9.37171681 4.5591045
"330" 6 157.076133986011 9.447378951 4.331894318
"331" 6 36360.7692703611 9.371340129 4.307555763
"332" 6 12102.8513700891 10.048671156 4.581014636
"333" 6 712.819200778193 9.492923593 4.691071683
"334" 6 13050.6812255233 9.396211081 4.371788798
"335" 6 4540.45730329139 9.307153004 4.264591079
"336" 6 1179.20715895743 9.354151648 4.36357103
"337" 6 2552.71763631579 9.181321034 4.224563417
"338" 6 41461.6925070791 9.216505209 4.259649759
"339" 6 10.0406213123251 9.168312167 4.429623903
"340" 6 25485.6665746088 9.217925017 4.419367233
"341" 6 245.817252164061 9.307726457 4.472884399
"342" 6 2373.71054656316 9.547759944 4.50380926
"343" 6 588.654299502845 9.53044297 4.391647595
"344" 6 2972.23747180554 9.418429184 4.417465926
"345" 6 6576.66370882437 9.202833313 4.45808988
"346" 6 398.650487163978 9.324309287 4.352670984
"347" 6 102.472413444611 9.219945239 4.432107973
"348" 6 22008.044539989 9.339896985 4.512960495
"349" 6 106509.347994279 9.379648816 4.298588608
"350" 6 48650.8172419082 9.494853879 4.430205841
"351" 6 1394.53778671549 9.706789522 4.60427375
"352" 6 50235.012726882 10.218805308 4.910358589
"353" 6 14012.7044186523 9.281847434 4.233275085
"354" 6 3655.13032220937 9.370259816 4.562460172
"355" 6 61243.4590199494 9.541382084 4.421727802
"356" 6 29319.9192277982 9.290866104 4.576951103
"357" 6 1090.98539911297 9.208691936 4.483969114
"358" 6 168.042663420253 9.2025458 4.228711471
"359" 6 2375.98035599607 9.117863011 4.371757651
"360" 6 15822.7742672916 9.45622175 4.677904749
"361" 6 7805.19762811126 9.39420297 4.356838155
"362" 6 9505.8280315266 9.400127874 4.353015518
"363" 6 29200.2001270356 9.485686012 4.425979817
"364" 6 23048.7542145114 9.225531834 4.459384021
