"k" "absresidrel" "runtimeb" "runtimea"
"1" 3 0.00013786861828289 6.276343317 0.011918657
"2" 3 0.000153517973689307 6.292914053 0.011826987
"3" 3 0.000144562414179073 6.262830948 0.012468571
"4" 3 0.000143237755380996 6.217431858 0.011833804
"5" 3 0.000144028351567928 6.213638584 0.02696647
"6" 3 0.000147378717779311 6.234388302 0.012743576
"7" 3 0.000151179989612234 6.222065356 0.01169337
"8" 3 0.000145644585430601 6.623892225 0.011943734
"9" 3 0.00014466338589842 6.256810766 0.027500656
"10" 3 0.000147968035521321 6.262986619 0.045420585
"11" 3 0.000143024621248309 6.313578693 0.012264229
"12" 3 0.000151765224707776 6.605497077 0.012346677
"13" 3 0.000147862576188242 6.249924873 0.012919894
"14" 3 0.00014267509254996 6.204143933 0.012276678
"15" 3 0.000141743596912597 6.549356194 0.012427878
"16" 3 0.000141173735442528 6.165078959 0.012468573
"17" 3 0.00014858914270127 6.136623837 0.012504213
"18" 3 0.000136731239229218 6.418423418 0.011825439
"19" 3 0.000144973345893912 6.14373063 0.011938537
"20" 3 0.000146101103405555 6.229044571 0.026561514
"21" 3 0.000128410334880195 6.265550289 0.026704349
"22" 3 0.000144142480908498 6.267951254 0.011712547
"23" 3 0.000150039649264013 6.280739205 0.012341481
"24" 3 0.000148052860540816 6.270425718 0.027101186
"25" 3 0.000148573646488212 6.204988172 0.01229981
"26" 3 0.000144777095878723 6.22636243 0.012642087
"27" 3 0.000143659319130001 6.206565533 0.028747379
"28" 3 0.000142458932192591 6.323567381 0.012345287
"29" 3 0.000139068289415649 6.258629575 0.013111886
"30" 3 0.000137315236904153 6.315503852 0.013105765
"31" 3 0.000145163125938446 6.293600699 0.014263499
"32" 3 0.000146667351508949 6.490685603 0.013076953
"33" 3 0.000142355707586432 6.485635584 0.012329077
"34" 3 0.00013567806770636 6.232228511 0.012613773
"35" 3 0.000145644800985417 6.243092679 0.011141866
"36" 3 0.000153351165777406 6.151235867 0.01219164
"37" 3 0.000142123355778576 6.155780997 0.012738212
"38" 3 0.000152818797474593 6.160316884 0.011292924
"39" 3 0.000142553065252589 6.159195632 0.013941186
"40" 3 0.000142681471570996 6.245456944 0.012644867
"41" 3 0.000140594262479861 6.280879756 0.012925204
"42" 3 0.00013746417407961 6.24607174 0.046094732
"43" 3 0.000144090896135318 6.262607212 0.028037093
"44" 3 0.000147962642843987 6.203270284 0.012517199
"45" 3 0.000151713085323749 6.186685478 0.027467628
"46" 3 0.000143369336566431 6.19388471 0.012033311
"47" 3 0.000143960929668223 6.2046414 0.011629113
"48" 3 0.000139105950766251 6.353888472 0.011880074
"49" 3 0.00014663515033967 6.26443815 0.012143432
"50" 3 0.000138764854632645 6.243228932 0.047038114
