"k" "absresidrel" "runtimeb" "runtimea"
"1" 3 0.00136147093552966 6.29580653922 0.04998607755
"2" 4 0.000922031778910555 6.27017496769 0.04089034953
"3" 5 0.000764625994108035 6.30757875004 0.05329762414
"4" 6 0.000353899919551576 6.28725251952 0.02101805597
"5" 7 3.74541692319653e-14 6.26017311178 0.00609318032
