"k" "absresidrel" "runtimeb" "runtimea"
"1" 3 0.000115592355824084 5.57400526253 0.0104046037
"2" 4 7.85019480148048e-05 5.56573019431 0.00758610632
"3" 5 1.95713433292132e-15 5.56631600824 0.0027273943
