"k" "absresidrel" "runtimeb" "runtimea"
"56" 3 109045.873466424 9.312308078 3.971620738
"57" 3 300325.836958952 9.350387044 3.961989451
"58" 3 214855.078568003 9.164592335 3.8116489
"59" 3 329623.030064532 9.276862506 3.891599439
"60" 3 609647.089332118 9.496350904 3.918174094
"61" 3 392707.868164726 9.597947465 4.102180485
"62" 3 44725.2519316448 9.557333026 4.046564246
"63" 3 723109.023625886 9.859493507 4.274688325
"64" 3 272945.015592036 9.337863816 3.879429149
"65" 3 173674.628895665 9.378781625 3.963065349
"66" 3 214086.146629776 9.651370635 4.177701648
"67" 3 206927.452529503 9.376907117 3.932035297
"68" 3 883385.974150787 9.52811185 3.994744979
"69" 3 312498.746792662 9.710343703 4.122521209
"70" 3 372186.712071014 9.57816462 4.099069867
"71" 3 1113734.29370244 9.747730376 4.080752488
"72" 3 13554.2118241606 9.996405493 3.997679864
"73" 3 285029.657654404 9.453320794 3.989312361
"74" 3 421318.199360145 9.561212642 4.081252686
"75" 3 63389.948766285 9.260692801 3.823360716
"76" 3 243712.38127297 9.210063401 3.853208756
"77" 3 185431.864863399 9.204838486 3.882787116
"78" 3 165286.295682406 9.278641609 3.918761395
"79" 3 197105.65118794 9.349641418 3.919519615
"80" 3 287546.714959554 9.255930682 3.852905223
"81" 3 406425.294366396 9.494084171 3.995687675
"82" 3 1138058.4360862 9.562996663 4.075021156
"83" 3 437054.921866637 9.508241249 4.001355931
"84" 3 222102.996298133 9.51934739 4.080806272
"85" 3 275106.021968532 9.399874365 3.955073119
"86" 3 770806.167332372 9.403393118 3.96651799
"87" 3 159012.15059878 9.494162401 4.055566146
"88" 3 678932.273033697 9.385694102 3.932694383
"89" 3 106289.743341416 9.649654386 4.130219951
"90" 3 485666.635868598 9.55749058 4.030299949
"91" 3 583799.053820969 9.49037799 3.985705095
"92" 3 289254.903752938 10.182535434 4.017324855
"93" 3 701387.739419764 9.427889055 4.012193561
"94" 3 464396.110899722 9.349971476 3.933332768
"95" 3 68013.9774484416 9.517697275 4.048743326
"96" 3 408082.420499277 9.294774457 3.899081039
"97" 3 704907.016478311 9.342356445 3.951652007
"98" 3 482395.502466846 9.283609022 3.900193998
"99" 3 439776.113727022 9.231819823 3.866316149
"100" 3 429645.906806365 9.341387709 3.863763953
"101" 4 480330.013588537 12.590822649 7.1013113
"102" 4 978695.572449405 12.348468452 6.874432633
"103" 4 1026875.80110162 12.418313985 6.895751813
"104" 4 639360.26826529 12.190949181 6.830898887
"105" 4 288031.08292171 12.00461934 6.636863083
"106" 4 689663.695621298 12.038763946 6.674872039
"107" 4 954226.718314875 12.283171837 6.953480209
"108" 4 360552.934706875 12.329209468 6.857373993
"109" 4 301560.553069811 12.652767225 7.144346912
"110" 4 944064.605096971 12.342479956 6.866742833
"111" 4 559589.619185734 12.711542839 7.171627333
"112" 4 242063.587763702 13.112514671 7.046857406
"113" 4 301305.303844479 12.14148713 6.77619526
"114" 4 396382.121956338 12.302425724 6.892832079
"115" 4 310924.189689066 12.31297354 6.84493676
"116" 4 1033145.37204111 12.284558249 6.926828165
"117" 4 524811.007947479 12.240567502 6.549266429
"118" 4 225263.554794128 12.04022786 6.69231448
"119" 4 314254.215456835 11.930171087 6.562585203
"120" 4 1014699.50911347 12.371030935 6.906603421
"121" 4 323304.19936857 12.238446307 6.774629521
"122" 4 354604.270210261 12.233474864 6.756376225
"123" 4 487046.652410301 12.309299118 6.848338219
"124" 4 1670789.87910312 12.370884055 6.652211983
"125" 4 427121.184455855 12.25550854 6.87610046
"126" 4 372602.053492649 12.339015274 6.907304734
"127" 4 959989.220698087 12.322454576 6.908700655
"128" 4 280618.560954097 12.461994468 6.963105061
"129" 4 221145.72731389 12.358953616 6.945104772
"130" 4 381951.187872057 12.532915074 7.028219725
"131" 4 401207.301613151 12.428070542 6.898760712
"132" 4 162700.032448423 13.269696455 6.863032749
"133" 4 1149656.51693197 12.120350961 6.692301371
"134" 4 1225744.83473082 12.266486192 6.843223473
"135" 4 525340.841319335 12.448121855 7.030725391
"136" 4 1061000.17218072 12.083175531 6.6923752
